Rank,City,Rent per month €
1,"London, United Kingdom",1866.93
2,"Geneva, Switzerland",1790.61
3,"Dublin, Ireland",1784.21
4,"Zurich, Switzerland",1702.21
5,"Reykjavik, Iceland",1540.59
6,"Amsterdam, Netherlands",1533.72
7,"Brighton, United Kingdom",1416.82
8,"Luxembourg, Luxembourg",1360.83
9,"Galway, Ireland",1325
10,"Cork, Ireland",1313.33
11,"Basel, Switzerland",1308.3
12,"Oxford, United Kingdom",1288.46
13,"Cambridge, United Kingdom",1284.84
14,"Haarlem, Netherlands",1233.33
15,"Copenhagen, Denmark",1195.03
16,"Lausanne, Switzerland",1154.65
17,"Munich, Germany",1152.48
18,"Bristol, United Kingdom",1129.58
19,"Rotterdam, Netherlands",1112.39
20,"Eindhoven, Netherlands",1088.73
21,"Bern, Switzerland",1066.55
22,"Oslo, Norway",1044.51
23,"Utrecht, Netherlands",1040.32
24,"Manchester, United Kingdom",1031.73
25,"Edinburgh, United Kingdom",1028.1
26,"The Hague (Den Haag), Netherlands",988.81
27,"Paris, France",986.49
28,"Coventry, United Kingdom",959.08
29,"Cardiff, United Kingdom",954.93
30,"Milan, Italy",946.34
31,"Barcelona, Spain",945.71
32,"Delft, Netherlands",934.29
33,"Lisbon, Portugal",914.52
34,"Berlin, Germany",901.24
35,"Madrid, Spain",897.6
36,"Brussels, Belgium",897.17
37,"Birmingham, United Kingdom",891.26
38,"Glasgow, United Kingdom",890.16
39,"Erlangen, Germany",883.33
40,"Sliema, Malta",883.33
41,"Maastricht, Netherlands",875
42,"Salzburg, Austria",875
43,"Stavanger, Norway",873.77
44,"Trondheim, Norway",869.01
45,"Nottingham, United Kingdom",862.2
46,"Espoo, Finland",860.34
47,"Stockholm, Sweden",853.71
48,"Groningen, Netherlands",853.63
49,"Bergen, Norway",834.22
50,"Palma de Mallorca, Spain",833.33
51,"Heidelberg, Germany",818.75
52,"Frankfurt, Germany",811.61
53,"Leeds, United Kingdom",804.07
54,"Helsinki, Finland",801.22
55,"Sheffield, United Kingdom",796.32
56,"Aarhus, Denmark",793.09
57,"Warsaw, Poland",790.57
58,"Dusseldorf, Germany",778.93
59,"Cologne, Germany",760
60,"Malaga, Spain",759.17
61,"Nice, France",754.17
62,"Leuven, Belgium",754
63,"Vienna, Austria",748.04
64,"Bologna, Italy",745.94
65,"Porto, Portugal",740
66,"Hamburg, Germany",738.39
67,"Gothenburg, Sweden",737.18
68,"Antwerp, Belgium",734.62
69,"Stuttgart, Germany",731.43
70,"Aberdeen, United Kingdom",730.73
71,"Gent, Belgium",728.57
72,"Prague, Czech Republic",717.8
73,"Valencia, Spain",716.3
74,"Florence, Italy",715.38
75,"Freiburg im Breisgau, Germany",704
76,"Ljubljana, Slovenia",682
77,"Lysá nad Labem, Czech Republic",681.94
78,"Liverpool, United Kingdom",680.8
79,"Nuremberg, Germany",677.67
80,"Rome, Italy",668.59
81,"Padova, Italy",646.67
82,"Seville (Sevilla), Spain",633.33
83,"Malmo, Sweden",632.47
84,"Gdansk, Poland",629.26
85,"Montpellier, France",625
86,"Krakow (Cracow), Poland",621.92
87,"Tampere, Finland",615.22
88,"Graz, Austria",609.62
89,"Wroclaw, Poland",609.09
90,"Szczecin, Poland",607.4
91,"Linz, Austria",606.67
92,"Uppsala, Sweden",603.63
93,"Essen, Germany",601.25
94,"Braga, Portugal",600
95,"Brno, Czech Republic",597.18
96,"Bordeaux, France",596.36
97,"Mannheim, Germany",590
98,"Hanover, Germany",588.25
99,"Alicante, Spain",586.11
100,"Bonn, Germany",577.5
101,"Turku, Finland",570
102,"Lyon, France",568.67
103,"Verona, Italy",566.67
104,"Budva, Montenegro",566.67
105,"Bratislava, Slovakia",556
106,"Coimbra, Portugal",548
107,"Poznan, Poland",547.95
108,"Vilnius, Lithuania",543.1
109,"Aveiro, Portugal",541.11
110,"Naples, Italy",540.91
111,"Toulouse, France",533.33
112,"Dresden, Germany",528.09
113,"Vigo, Spain",525.71
114,"Zagreb, Croatia",523.44
